CustomerID,Lookalikes
C0001,"[('C0190', 0.9985), ('C0048', 0.9973), ('C0091', 0.9957)]"
C0002,"[('C0088', 0.9825), ('C0092', 0.9813), ('C0040', 0.9766)]"
C0003,"[('C0052', 0.9995), ('C0076', 0.9981), ('C0031', 0.9953)]"
C0004,"[('C0087', 0.9991), ('C0155', 0.9948), ('C0082', 0.9923)]"
C0005,"[('C0186', 0.9993), ('C0007', 0.9966), ('C0140', 0.9922)]"
C0006,"[('C0137', 0.9994), ('C0011', 0.997), ('C0191', 0.9954)]"
C0007,"[('C0005', 0.9966), ('C0115', 0.9959), ('C0186', 0.9927)]"
C0008,"[('C0059', 0.993), ('C0065', 0.9643), ('C0046', 0.8163)]"
C0009,"[('C0198', 0.9969), ('C0062', 0.9967), ('C0061', 0.9903)]"
C0010,"[('C0061', 0.9986), ('C0062', 0.9941), ('C0111', 0.99)]"
C0011,"[('C0006', 0.997), ('C0137', 0.9961), ('C0168', 0.9939)]"
C0012,"[('C0163', 0.9992), ('C0113', 0.9987), ('C0104', 0.9757)]"
C0013,"[('C0108', 0.991), ('C0099', 0.9888), ('C0143', 0.8155)]"
C0014,"[('C0060', 0.9998), ('C0089', 0.9581), ('C0166', 0.8915)]"
C0015,"[('C0036', 0.9814), ('C0131', 0.9796), ('C0094', 0.9758)]"
C0016,"[('C0183', 1.0), ('C0034', 1.0), ('C0049', 0.9926)]"
C0017,"[('C0023', 0.9829), ('C0057', 0.96), ('C0081', 0.8946)]"
C0018,"[('C0047', 0.998), ('C0024', 0.997), ('C0194', 0.9931)]"
C0019,"[('C0135', 0.9894), ('C0070', 0.9891), ('C0064', 0.978)]"
C0020,"[('C0050', 0.9204), ('C0035', 0.9011), ('C0157', 0.8933)]"
